,lat,lon,country,continent,hype
0,48.35149,8.96317,Germany,Europe,3
1,37.49223,15.07041,Italy,Europe,8
2,-37.9,145.18333,Australia,Oceania,6
3,48,-4.1,France,Europe,1
4,-37.32167,-59.13316,Argentina,South America,5
5,51.40148,-1.32471,United Kingdom,Europe,1
6,-3.20333,-52.20639,Brazil,South America,6
7,-27.50578,153.10236,Australia,Oceania,7
8,61.72744,17.10558,Sweden,Europe,1
9,-19.7625,-44.31389,Brazil,South America,4
10,53.7446,-0.33525,United Kingdom,Europe,5
11,34.9,137.5,Japan,Asia,4
12,51.20219,7.36027,Germany,Europe,2
13,45.43341,-73.86586,Canada,North America,3
14,55.1904,30.2049,Belarus,Europe,8
15,36.6009,126.665,South Korea,Asia,4
16,55.63711,37.38115,Russia,Europe,7
17,43.50891,16.43915,Croatia,Europe,1
18,-38.65333,178.00417,New Zealand,Oceania,4
19,55.67938,12.53463,Denmark,Europe,4
20,50.8,3.16667,Belgium,Europe,5
21,14.62072,74.83554,India,Asia,9
22,31.92923,34.86563,Israel,Asia,1
23,21.28306,-89.66123,Mexico,North America,2
24,45.4473,-73.75335,Canada,North America,7
25,-38.65333,178.00417,New Zealand,Oceania,6
26,34.85,117.33333,China,Asia,6
27,45.51667,4.86667,France,Europe,4
28,38.72706,-9.24671,Portugal,Europe,1
29,37.08819,-8.2503,Portugal,Europe,3
30,-37.88333,145.06667,Australia,Oceania,1
31,33.43443,-5.22126,Morocco,Africa,7
32,8.62261,-70.20749,Venezuela,South America,2
33,17.94979,-94.91386,Mexico,North America,9
34,-36.9256,-73.02841,Chile,South America,2
35,55.67938,12.53463,Denmark,Europe,3
36,51.03427,5.37429,Belgium,Europe,4
37,45.35,126.28333,China,Asia,4
38,20.88953,-156.47432,United States,North America,6
39,23.04419,-82.00919,Cuba,North America,2
40,10.58806,77.24779,India,Asia,1
41,-34.64167,-60.47389,Argentina,South America,5
42,42.8139,-1.64295,Spain,Europe,4
43,20.88953,-156.47432,United States,North America,3
44,37.1759,128.9889,South Korea,Asia,8
45,59.33333,18.28333,Sweden,Europe,5
46,13.48082,-86.58208,Nicaragua,North America,7
47,-33.79176,151.08057,Australia,Oceania,8
48,-32.45242,-71.23106,Chile,South America,9
49,27.76056,-15.58602,Spain,Europe,6
