,lat,lon,country,continent,hype
0,36.6009,126.665,South Korea,Asia,2
1,44.98901,38.94324,Russia,Europe,6
2,50.88506,4.07601,Belgium,Europe,4
3,22.10194,85.37752,India,Asia,5
4,43.48961,-8.2194,Spain,Europe,9
5,30.35028,112.19028,China,Asia,1
6,25.75728,75.37991,India,Asia,1
7,-32.05251,115.88782,Australia,Oceania,7
8,46.32313,-0.45877,France,Europe,5
9,-33.75881,150.99292,Australia,Oceania,9
10,53.6052,10.03988,Germany,Europe,7
11,34.9,137.5,Japan,Asia,5
12,-37.9,145.18333,Australia,Oceania,8
13,-44.39672,171.25364,New Zealand,Oceania,3
14,-17.74431,-48.62789,Brazil,South America,8
15,55.67938,12.53463,Denmark,Europe,5
16,50.75,2.25,France,Europe,1
17,31.92923,34.86563,Israel,Asia,1
18,50.09019,8.4493,Germany,Europe,2
19,59.33333,18.28333,Sweden,Europe,3
20,20.28527,-103.42897,Mexico,North America,9
21,8.62261,-70.20749,Venezuela,South America,7
22,45.44868,-73.81669,Canada,North America,9
23,-32.45242,-71.23106,Chile,South America,7
24,42.819,47.1192,Russia,Europe,7
25,36.82167,128.63083,South Korea,Asia,1
26,33.92866,-6.90656,Morocco,Africa,9
27,33.35283,-111.78903,United States,North America,4
28,-36.9256,-73.02841,Chile,South America,3
29,50.82882,-0.32247,United Kingdom,Europe,1
30,39.46667,141.95,Japan,Asia,2
31,-31.4488,-60.93173,Argentina,South America,4
32,-0.71667,-48.52333,Brazil,South America,8
33,46.23899,-63.13414,Canada,North America,8
34,-32.05251,115.88782,Australia,Oceania,7
35,10.22677,-67.33122,Venezuela,South America,3
36,37.08819,-8.2503,Portugal,Europe,3
37,55.67938,12.53463,Denmark,Europe,4
38,37.19723,122.05228,China,Asia,9
39,33.43443,-5.22126,Morocco,Africa,5
40,41.1053,-7.32097,Portugal,Europe,6
41,32.05971,34.8732,Israel,Asia,8
42,59.33333,18.28333,Sweden,Europe,3
43,20.21322,-100.88023,Mexico,North America,7
44,-34.74785,-58.70072,Argentina,South America,6
45,52.68333,0.93333,United Kingdom,Europe,7
46,-44.39672,171.25364,New Zealand,Oceania,3
47,43.32686,-2.98884,Spain,Europe,7
48,36.20829,-115.98391,United States,North America,7
49,51.12794,4.21372,Belgium,Europe,7
