A,46.386358498634,-122.536559082248,United States,10,North America 
B,38.395358924535,-97.455168489877,United States,10,North America 
C,33.396338616111,-111.694372061709,United States,10,North America 
D,64.13731155848248,-21.909993066006006,Iceland,3,Europe
E,63.41862652186229,-19.002359128445406,Iceland,3,Europe
F,42.89380848742929,11.765734988114417,Italy,6,Europe
G,44.70404000279107,15.135294167865844,Croatia,6,Europe
H,51.16154546262036,10.407440460095112,Germany,8,Europe
I,51.43046327400558,7.063460018582585,Germany,8,Europe
J,52.372704860167,4.921908296668771,Netherlands,10,Europe
K,32.396338616111,-95.694372061709,United States,10,North America
L,40.396338616111,-100.694372061709,United States,10,North America
M,37.396338616111,-102.694372061709,United States,10,North America
N,38.396338616111,-109.694372061709,United States,10,North America
O,45.71314136997104,-73.54834583780325,Canada,10,North America
P,25.57374330603269,-100.09425442990543,Mexico,10,North America
Q,31.289425022007993,-106.64210624065934,Mexico,10,North America
S,-8.524981847155566,-55.75343465556656,Brazil,10,South America
T,21.43766078744501,-78.00603492823132,Cuba,10,North America
U,-25.284587903029422,-69.68369911508685,Chile,10,South America
V,-42.341661669612556,-67.28734498020177,Argentina,10,South America
W,62.67099216847736,-45.50213757295482,Greenland,10,North America
X,-8.395270157559194,-37.88426312878847,Brazil,10,South America
Y,-23.912683993437767,-46.476215554321605,Brazil,10,South America
Z,9.92061325198933,-84.40635394080438,Costa Rica,10,North America
AA,15.097262794793862,-90.79140275119536,Guatemala,10,North America
